E8,F4,NCG,R32,R64,S16,team_name,team_seed
89.1%,77.3%,57.5%,98.5%,99.5%,96.0%,UConn,1
75.7%,48.4%,15.1%,97.2%,99.4%,93.4%,Miss St,1
75.7%,33.7%,10.4%,97.9%,99.4%,89.9%,Louisville,1
71.7%,12.3%,5.9%,96.9%,99.3%,90.6%,Notre Dame,1
13.9%,5.3%,1.5%,94.7%,99.0%,65.2%,Texas,2
6.3%,3.8%,2.0%,91.3%,99.0%,67.3%,South Carolina,2
13.7%,1.7%,0.7%,89.9%,98.4%,55.8%,Oregon,2
11.2%,3.8%,1.1%,90.5%,98.6%,56.6%,Baylor,2
8.3%,1.3%,0.6%,73.3%,97.2%,32.6%,OSU,3
6.7%,2.6%,0.9%,80.4%,95.9%,29.0%,UCLA,3
1.8%,0.7%,0.3%,76.5%,97.8%,24.3%,FSU,3
5.0%,1.5%,0.4%,70.4%,97.3%,28.3%,Tennessee,3
2.9%,1.1%,0.4%,67.6%,95.4%,6.0%,Stanford,4
2.5%,0.4%,0.2%,65.6%,95.5%,5.1%,Texas A&M;,4
2.2%,0.9%,0.4%,26.1%,80.3%,11.2%,Oregon State,6
1.1%,0.2%,0.1%,20.6%,78.3%,6.7%,LSU,6
0.8%,0.4%,0.2%,60.3%,93.3%,1.7%,Georgia,4
1.1%,0.4%,0.2%,50.6%,91.4%,4.7%,NC State,4
1.0%,0.4%,0.2%,45.6%,90.2%,3.2%,Missouri,5
0.5%,0.3%,0.1%,31.6%,88.9%,1.3%,Duke,5
0.3%,0.2%,0.1%,28.7%,85.5%,2.5%,USF,6
0.7%,0.3%,0.1%,20.7%,83.7%,1.3%,Maryland,5
0.4%,0.2%,0.1%,15.2%,81.3%,3.3%,Iowa,6
0.3%,0.2%,0.1%,6.7%,77.7%,2.5%,Cal,7
0.7%,0.2%,0.1%,25.4%,76.9%,2.1%,DePaul,5
0.5%,0.1%,0.1%,8.0%,74.6%,2.0%,Green Bay,7
0.4%,0.2%,0.1%,5.3%,21.7%,1.8%,Cent Michigan,11
0.4%,0.2%,0.1%,7.4%,71.0%,1.8%,Michigan,7
0.4%,0.1%,0.1%,1.8%,67.4%,0.9%,South Dakota St,8
0.3%,0.1%,0.0%,6.1%,63.3%,0.7%,Oklahoma,12
0.2%,0.1%,0.1%,0.8%,23.1%,0.4%,Miami,8
0.3%,0.1%,0.1%,0.3%,0.5%,0.2%,St Francis (PA),16
0.2%,0.1%,0.0%,5.4%,70.5%,0.9%,Arizona State,7
0.2%,0.1%,0.1%,3.3%,65.4%,0.8%,Princeton,12
0.2%,0.1%,0.1%,3.2%,18.7%,0.7%,Syracuse,8
0.2%,0.1%,0.0%,2.7%,59.8%,0.4%,Marquette,8
0.2%,0.1%,0.1%,1.4%,40.2%,0.6%,Boise State,16
0.2%,0.1%,0.1%,0.4%,0.6%,0.3%,Oklahoma State,9
0.2%,0.1%,0.1%,1.2%,36.7%,0.6%,Creighton,11
0.2%,0.1%,0.1%,2.7%,34.6%,0.5%,Gonzaga,13
0.1%,0.1%,0.0%,1.1%,16.3%,0.2%,Elon,13
0.2%,0.1%,0.1%,2.6%,4.6%,0.5%,W Kentucky,11
0.2%,0.1%,0.0%,2.1%,32.7%,0.5%,Villanova,9
0.2%,0.1%,0.0%,2.0%,9.8%,0.4%,N Colorado,10
0.1%,0.1%,0.0%,2.0%,29.5%,0.5%,CSU Northridge,16
0.2%,0.0%,0.0%,0.4%,29.0%,0.4%,Dayton,9
0.1%,0.1%,0.0%,1.0%,0.7%,0.2%,Buffalo,11
0.1%,0.1%,0.0%,1.7%,25.4%,0.3%,Nicholls,16
0.1%,0.0%,0.0%,0.3%,0.6%,0.4%,Nebraska,10
0.1%,0.0%,0.0%,0.5%,19.7%,0.1%,Belmont,12
0.1%,0.1%,0.0%,2.0%,22.3%,0.4%,Minnesota,10
0.1%,0.1%,0.0%,1.8%,14.5%,0.3%,Quinnipiac,9
0.1%,0.1%,0.0%,1.5%,11.1%,0.4%,FGCU,12
0.1%,0.1%,0.0%,1.5%,8.6%,0.2%,UVA,10
0.1%,0.0%,0.0%,1.3%,6.7%,0.1%,Mercer,13
0.1%,0.0%,0.0%,0.4%,4.5%,0.4%,Grambling,15
0.1%,0.1%,0.0%,1.0%,4.1%,0.2%,American,14
0.1%,0.0%,0.0%,0.8%,2.8%,0.3%,Seattle,15
0.1%,0.0%,0.0%,0.8%,2.7%,0.3%,NC A&T;,15
0.1%,0.0%,0.0%,0.7%,1.4%,0.2%,Liberty,14
0.1%,0.0%,0.0%,0.7%,2.2%,0.2%,Drake,13
0.1%,0.0%,0.0%,0.7%,1.6%,0.1%,Maine,15
0.1%,0.0%,0.0%,0.5%,1.0%,0.1%,G Washington,14
0.0%,0.0%,0.0%,0.5%,1.0%,0.1%,Little Rock,14
